"Name","Developer","Status","First release","Based on","License","Source available"
"Dante client","Inferno Nettverk A/S","Active","November 16, 1998","","BSD","Yes"
"FreeCap","Max Artemev","N/A","2003","","GPL","Yes"
"Proxifier","Initex Software","Active","2004","","Proprietary (Shareware)","No"
"ProxyCap","Proxy Labs","Active","2002","","Proprietary (Shareware)","No"
"proxychains","","Active","2002","","GPL","Yes"
"redsocks","Leonid Evdokimov","Active","","","Apache","Yes"
"SocksCap","NEC","N/A","June 16, 1997","","Proprietary","No"
"Super Socks5Cap","Networktunnel Lab","Active","2009","","Proprietary (Shareware)","No"
"torsocks","Robert Hogan","Active","2008","tsocks","GPL","Yes"
"tun2socks","Ambroz Bizjak","Active","2011","","BSD","Yes"
"WideCap","Max Artemev","N/A","","","Proprietary (Freeware)","No"
"Name","Mac OS X","Windows","Cygwin","BSD","Linux","Solaris","Windows Mobile","Android","iPhone, iPod Touch"
"Dante","N/A","No","N/A","Yes","Yes","Yes","No","No","No"
"FreeCap","No","Yes","No","No","No","No","No","No","No"
"Proxifier","Yes","Yes","No","No","No","No","No","No","No"
"ProxyCap","Yes","Yes","No","No","No","No","Yes","No","No"
"proxychains","N/A","No","N/A","N/A","Yes","N/A","No","No","No"
"redsocks","N/A","No","N/A","N/A","Yes","N/A","No","Yes","No"
"SocksCap","No","Yes","No","No","No","No","No","No","No"
"Super Socks5cap","No","Yes","No","No","Yes","No","No","No","No"
"torsocks","Yes","No","N/A","N/A","Yes","N/A","No","No","No"
"tun2socks","No","Yes","No","No","Yes","No","No","Yes","No"
"WideCap","No","Yes","No","No","No","No","No","No","No"
"Name","SOCKS4","SOCKS4A","SOCKS5","SOCKS5","HTTP","HTTP","SSH1","SSH2"
"Name","SOCKS4","SOCKS4A","CONNECT","UDP ASSOCIATE","CONNECT","GET","SSH1","SSH2"
"Dante","Yes","No","Yes","Yes","Yes","No","No","No"
"FreeCap","Yes","No","Yes","Yes","Yes","No","No","No"
"Proxifier","Yes","Yes","Yes","No","Yes","Yes","No","No"
"ProxyCap","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"proxychains","Yes","No","Yes","No","Yes","No","No","No"
"redsocks","Yes","No","Yes","Yes","Yes","N/A","No","No"
"SocksCap","Yes","Yes","Yes","N/A","No","No","No","No"
"Super Socks5cap","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"tun2socks","No","No","Yes","No","No","No","No","No"
"WideCap","Yes","No","Yes","Yes","Yes","No","No","No"
